SECTOR,October,November,December,January,February,March,April,May,June,July,August,September,Yearly Total,Fiscal Year
Blaine,107,107,89,92,116,125,93,121,69,152,140,169,1380,2003
Buffalo,112,79,55,35,30,34,26,22,33,28,30,80,564,2003
Detroit,151,195,153,178,188,170,220,195,196,235,232,232,2345,2003
Grand Forks,102,81,88,78,110,119,113,90,99,123,131,89,1223,2003
Havre,151,105,86,92,98,97,156,135,132,128,110,116,1406,2003
Houlton,53,22,12,19,17,16,19,30,21,38,29,16,292,2003
Spokane,126,88,72,79,69,54,42,60,68,137,87,110,992,2003
Swanton,107,80,80,101,113,121,101,156,337,352,235,172,1955,2003
"Big Bend
(formerly Marfa)",754,722,872,862,974,1097,860,1099,678,773,867,761,10319,2003
Del Rio,3037,1942,2083,6546,7127,6579,5020,4973,2857,2993,3700,3288,50145,2003
El Centro,8399,6107,4572,12369,13293,11632,6116,6528,5791,6128,6076,5088,92099,2003
El Paso,6545,5303,4008,9255,10000,8883,7359,8120,6998,7618,7538,7189,88816,2003
Laredo,4644,4157,3991,7444,7603,7803,5990,6683,5165,5570,6371,5100,70521,2003
"Rio Grande Valley
(formerly McAllen)",6024,4218,3814,7630,7905,7498,6560,7095,6153,7042,7737,6073,77749,2003
San Diego,7339,5379,4280,10177,10958,11158,9082,10680,9271,10207,11217,11767,111515,2003
Tucson,21352,17206,11481,26826,33854,37055,29099,37847,32532,34201,36639,29171,347263,2003
Yuma,3698,2697,2723,5816,5155,6694,5273,5665,6085,4752,4341,3739,56638,2003
Coastal Border,1717,1436,1045,1538,1333,1316,1581,1511,1155,1137,1116,1450,16335,2003
Northern Border,909,757,635,674,741,736,770,809,955,1193,994,984,10157,2003
Southwest Border,61792,47731,37824,86925,96869,98399,75359,88690,75530,79284,84486,72176,905065,2003
Livermore,296,225,220,172,184,183,185,214,171,0,0,0,1850,2004
Miami,437,321,367,522,418,346,371,252,415,344,494,315,4602,2004
New Orleans,284,244,184,293,226,376,282,286,296,98,158,162,2889,2004
Ramey,213,247,332,166,188,31,178,87,99,74,165,33,1813,2004
Blaine,135,100,101,76,118,145,132,136,106,85,117,103,1354,2004
Buffalo,25,17,30,28,28,84,60,84,85,86,95,49,671,2004
Detroit,154,157,111,114,108,202,149,173,148,184,212,200,1912,2004
Grand Forks,92,89,85,105,70,106,84,134,136,122,105,97,1225,2004
Havre,81,48,90,84,62,84,69,92,83,108,106,79,986,2004
Houlton,27,19,17,38,17,15,17,22,17,32,24,18,263,2004
Spokane,83,79,51,69,103,101,52,58,84,54,49,64,847,2004
Swanton,177,82,107,224,182,195,141,179,270,526,374,244,2701,2004
"Big Bend
(formerly Marfa)",707,710,824,696,907,1104,993,923,885,1068,930,783,10530,2004
Del Rio,2913,2372,2307,5044,6561,7983,4960,5177,3709,4242,4573,3953,53794,2004
El Centro,5438,3799,2802,7826,8417,10761,8327,7616,5611,4581,5086,4203,74467,2004
El Paso,6451,5244,4030,8768,10584,13483,12632,10343,8432,8654,8321,7457,104399,2004
