data_date,individuals,first of year
12/10/2013,567111,
12/18/2013,568501,
12/19/2013,569003,
12/31/2013,576354,
1/15/2014,582166,582166
1/20/2014,589045,
1/23/2014,590749,
1/26/2014,591862,
1/27/2014,592623,
1/28/2014,592864,
1/29/2014,593186,
2/2/2014,593693,
2/4/2014,591922,
2/6/2014,596800,
2/9/2014,597937,
2/10/2014,598690,
2/13/2014,571457,
2/18/2014,573425,
2/20/2014,574410,
2/23/2014,576428,
2/25/2014,577786,
3/5/2014,581535,
3/6/2014,582080,
3/9/2014,584406,
3/10/2014,584600,
3/23/2014,587308,
3/30/2014,588979,
4/1/2014,588979,
4/6/2014,588980,
4/7/2014,590515,
4/10/2014,589792,
4/29/2014,595369,
4/30/2014,594258,
5/4/2014,593346,
5/20/2014,596062,
5/30/2014,599458,
6/1/2014,599408,
6/4/2014,594381,
6/5/2014,595082,
6/8/2014,597328,
6/26/2014,599461,
7/1/2014,604868,
7/2/2014,604868,
7/3/2014,605270,
7/7/2014,605526,
7/8/2014,605660,
7/9/2014,605719,
7/15/2014,606653,
7/16/2014,606716,
7/20/2014,606993,
7/21/2014,607193,
7/23/2014,607443,
7/24/2014,607500,
7/27/2014,607878,
7/30/2014,608373,
7/31/2014,608534,
8/3/2014,608889,
8/7/2014,609376,
8/11/2014,609692,
8/21/2014,611685,
8/26/2014,612737,
8/28/2014,613252,
9/3/2014,614819,
9/7/2014,615546,
9/9/2014,615792,
9/18/2014,618086,
9/29/2014,619163,
10/8/2014,619306,
10/9/2014,619376,
10/28/2014,618508,
11/11/2014,618420,
11/20/2014,618615,
12/7/2014,620441,
12/21/2014,620441,
12/23/2014,620441,
12/28/2014,620441,
12/29/2014,623001,
12/30/2014,622865,
1/4/2015,623338,623338
1/5/2015,622672,
1/6/2015,622682,
1/7/2015,622384,
1/13/2015,622397,
1/14/2015,622324,
1/15/2015,622287,
1/18/2015,622405,
1/19/2015,622380,
1/20/2015,622045,
1/21/2015,622173,
1/22/2015,621773,
1/26/2015,621918,
2/3/2015,622106,
2/8/2015,619315,
2/9/2015,619318,
2/10/2015,619306,
2/11/2015,619102,
2/12/2015,619160,
2/15/2015,616589,
2/16/2015,622586,
2/22/2015,623060,
2/23/2015,623241,
2/24/2015,623289,
2/25/2015,623447,
3/1/2015,623908,
3/2/2015,623974,
3/4/2015,624244,
3/5/2015,624325,
3/8/2015,624513,
3/10/2015,624854,
3/11/2015,624961,
3/12/2015,625177,
3/15/2015,625598,
3/17/2015,626136,
3/18/2015,626357,
3/22/2015,626905,
3/23/2015,626932,
3/24/2015,627010,
3/26/2015,627295,
4/8/2015,628427,
5/6/2015,627287,
5/28/2015,628160,
6/17/2015,629128,
8/13/2015,630099,
8/16/2015,630224,
8/23/2015,629245,
9/6/2015,629266,
9/17/2015,628887,
10/4/2015,628175,
10/19/2015,629627,
11/2/2015,630776,
11/17/2015,633644,
12/2/2015,632762,
12/17/2015,633466,
1/19/2016,635324,635324
2/17/2016,637859,
3/3/2016,639704,
3/16/2016,636040,
4/4/2016,638633,
4/19/2016,642868,
5/16/2016,651114,
6/1/2016,655217,
7/4/2016,657433,
7/20/2016,657099,
8/1/2016,657203,
8/16/2016,656198,
9/3/2016,655990,
9/4/2016,655990,
9/18/2016,656400,
10/23/2016,655365,
11/7/2016,655833,
12/4/2016,655404,
12/19/2016,655675,
12/31/2016,648836,
1/5/2017,655399,655399
1/19/2017,655496,
2/1/2017,655895,
2/16/2017,656170,
3/15/2017,657000,
4/5/2017,658015,
4/30/2017,659200,
5/1/2017,659246,
5/18/2017,659828,
6/1/2017,660315,
6/19/2017,660785,
7/3/2017,661114,
8/6/2017,660582,
8/20/2017,660422,
9/6/2017,659125,
9/18/2017,654582,
11/5/2017,654877,
11/16/2017,655056,
12/5/2017,655588,
12/18/2017,654903,
1/2/2018,655624,655624
2/4/2018,657628,
3/13/2018,659063,
4/7/2018,661747,
5/24/2018,666013,
6/24/2018,666518,
7/29/2018,668104,
9/4/2018,670424,
9/24/2018,671442,
9/24/2018,671519,
10/8/2018,672230,
10/9/2018,671919,
10/24/2018,672578,
11/12/2018,673414,
12/9/2018,671148,
1/13/2018,671551,
1/13/2019,671551,
